,Repo,Contributor,Contributions
2851,1981819,sethbrayman,276
1321,1981819,usnavi,18
1996,1990821,mrguen,2
337,1990821,rocketscream,8
2079,1990821,alexreinert,1
3404,1990821,Rodmg,4
3506,2006429,cat101,3
7480,2006429,ronnqvist,4
6005,2006429,ribbons,11
7654,2006429,cyberwaelder,2
6273,2006429,edvler,4
1282,2006429,sirleech,18
3968,2006429,tfnab,32
1030,2006429,unwiredben,40
887,2006429,Raidok,4
743,2006429,rolfmorel,4
576,2050163,ajredniwja,26
7125,2050163,alextwoods,155
30,2050163,rcrews,19
4980,2050163,awood45,721
3576,2050163,mullermp,186
7822,2050163,YashoSharma,24
57,2050163,trevorrowe,3386
3063,2050163,lsegal,100
2464,2050163,Fonsan,13
6662,2050163,cjyclaire,351
7594,2225800,krohling,18
6142,2225804,krohling,20
3091,2225804,jsmiguel,1
4596,2225804,borfast,1
380,2309696,Oekn5w,163
5030,2309696,alranel,3963
918,2309696,Samir55,43
4357,2309696,lordofhyphens,1526
5565,2309696,TheThirdOne,15
8182,2309696,platsch,98
6216,2309696,beanz,39
2378,2309696,henrikbrixandersen,168
729,2309696,bubnikv,56
8627,2309696,sapir,35
538,2323906,roginvs,3
8557,2323906,JeanSebastienCarrier-Dyze,8
398,2323906,repetier,891
3251,2323906,PxT,5
6887,2323906,Braccoz,14
6686,2323906,hannoHI,3
4315,2323906,phd0,14
6393,2323906,alexsomesan,12
1664,2323906,MarcoAntonini,4
3400,2323906,sousoux,37
589,2349728,kevinsawicki,1992
5235,2349728,veyndan,175
6245,2349728,rtyley,140
1725,2349728,StefMa,22
3024,2349728,ZacSweers,95
8059,2349728,atermenji,67
5452,2349728,Meisolsson,377
2809,2349728,jonan,29
1733,2349728,fadils,200
1318,2349728,larsgrefer,83
5985,2356748,neocoin,3
3612,2356748,androidquery,402
4425,2356748,free1002,1
3889,2356748,aigens,12
7690,2356748,brk3,3
5153,2356748,robisaks,1
7643,2392967,brianmaissy,1
7269,2392967,alex7kom,1
7122,2392967,dcharbonnier,1
2480,2392967,greenkeeper[bot],9
3271,2392967,AndreasMadsen,2
1987,2392967,tusbar,1
116,2392967,andris9,1
1746,2392967,devongovett,1
2990,2392967,designfrontier,2
7717,2392967,danmactough,371
4826,2464640,madsci1016,13
3934,2464640,kumy,4
7744,2464640,PaulStoffregen,2
7101,2464640,Palatis,1
6234,2471372,jgilfelt,21
3128,2489397,cmaglie,2
1141,2489397,carlosefr,2
5196,2489397,per1234,5
310,2489397,sudar,1
922,2489397,damellis,39
1782,2489397,soundstorm,1
1029,2489397,Giermann,1
4042,2544179,septillion-git,7
4957,2544179,shineangelic,1
5832,2544179,RobTillaart,1012
4766,2544179,ivankravets,5
87,2544179,waspinator,2
6979,2544179,per1234,8
4118,2544179,Chris--A,7
6843,2544179,odbol,3
7918,2544179,hashkode,1
3715,2544179,Bolukan,3
1003,2555313,minoli-v,4
6813,2555313,rahulnwn,13
3319,2555313,jatinbs,3
1874,2555313,pulkitsharma07,3
615,2555313,Archish27,3
3312,2555313,ritesharora,7
3223,2555313,nakula,7
6306,2555313,tr4n2uil,5
2747,2555313,crodjer,4
2425,2555313,francisf,9
150,2642653,mtparet,11
5544,2642653,Pajk,153
3658,2642653,bradrf,6
954,2642653,dprice-fiksu,9
6622,2642653,hank-spokeo,14
1331,2642653,elasti-ron,7
6017,2642653,ofedoren,7
1946,2642653,mathieujobin,26
5442,2642653,mbacovsky,8
2004,2642653,iNecas,324
1274,2720287,dajtxx,15
6546,2720287,jantje,626
6404,2720287,wimjongman,206
2550,2720287,amorellgarcia,10
2183,2720287,henols,7
621,2720287,martinmikula,10
7991,2720287,mjmeijer,9
5322,2720287,brodykenrick,68
5483,2720287,rlogiacco,99
2935,2720287,MarceloLimori,19
2312,2736010,sophiekovalevsky,2
1193,2736010,GMusliaj,2
7888,2736010,cosenary,139
5341,2736010,MarioPerezEsteso,3
1069,2736010,vinkla,23
4551,2736010,GuidoBR,2
3851,2736010,RobWiddick,2
2290,2736010,licvido,2
5929,2736010,mgoebelm,2
4948,2736010,mynetx,2
5018,2760865,Muon,1
4954,2760865,nornagon,16
1071,2760865,jweissman,1
789,2760865,dommmel,1
2262,2783937,ryantm,57
8002,2783937,kevin-pololu,74
3566,2783937,jhogendorn,2
7107,2783937,DavidEGrayson,2
2233,2808161,Jalakas,2
3575,2808161,rsbohn,1
6943,2862290,googolmo,5
3146,2862290,johanols,6
7680,2862290,xiphirx,2
7392,2862290,nostra13,964
2120,2862290,fatkun,2
3161,2862290,Qualtagh,2
2350,2862290,ncoolz,2
7636,2862290,vivekkiran,17
6394,2862290,mrleolink,2
7121,2862290,mente,2
2061,2883201,vnglst,3
7160,2883201,egtoney,4
6833,2883201,matomesc,3
3636,2883201,conradoplg,4
7056,2883201,haroonabbasi,3
1084,2883201,justinmichaelvieira,3
4244,2883201,matteoagosti,4
1450,2883201,damianb,9
3578,2883201,mahnunchik,3
2418,2883201,ttezel,396
7013,2894079,ecto,101
2409,2894079,Pi-Uno,1
4994,2894079,trobrock,1
1627,2894079,rwaldron,40
7089,2894079,jarretth,7
5838,2894079,setola,6
3665,2894079,richkzad,1
1635,2894079,nulltask,1
8266,2894079,natevw,10
3021,2897853,cclauss,16
1325,2897853,laike9m,7
7276,2897853,aiguofer,9
8896,2897853,ccppoo,5
3572,2897853,JMensch,5
1147,2897853,burnash,594
1947,2897853,msuozzo,24
8773,2897853,lavigne958,154
7194,2897853,Fendse,15
6940,2897853,candeira,9
6944,2942615,fpillet,4
3037,2942615,JakeWharton,105
2799,2942615,SimonVT,2
4489,2942615,jfmichel,1
8211,2942615,jpmcosta,1
8366,2953962,aistrate,12
3641,2979604,br3ttb,12
7229,2979604,zcx119,1
6324,2979604,thijse,2
288,2990192,agrajaghh,71
1153,2990192,FeuRenard,45
8267,2990192,alan-signal,775
5335,2990192,rashad-signal,80
4274,2990192,alex-signal,1207
1796,2990192,cody-signal,757
6139,2990192,greyson-signal,3030
1222,2990192,moxie0,2254
1110,2990192,mcginty,528
8484,2990192,rhodey,54
4859,3100209,wivlaro,15
2527,3100209,timrwood,11
833,3100209,schteppe,953
8216,3100209,brianpeiris,1
4087,3100209,elisee,1
1085,3100209,jgottero,7
1892,3100209,chrisforbes,1
3321,3100209,fjavierv,2
8091,3100209,groe,2
27,3100209,oxyflour,2
5803,3116751,rom1v,20
118,3116751,mathieuboniface,163
3849,3116751,yDelouis,323
4845,3116751,DayS,272
8143,3116751,simopete,34
5823,3116751,JoanZapata,23
1027,3116751,shiraji,35
4833,3116751,dodgex,347
4578,3116751,pyricau,782
6754,3116751,WonderCsabo,658
5407,3121545,br3ttb,5
5523,3146658,fdebrabander,16
